zip_code,trade_name,search_query,rank,matched_name,price,size,unit_price,unit_price_basis,url,status,date,timestamp
46774,TOMATOES ROMA LUG,roma tomato,1,Roma Tomato Extra Large,$0.60,0.60 each,$2.39,/lb,,ok-dom,2026-05-08,2026-05-08T17:34:27Z
46774,TOMATOES ROMA LUG,roma tomato,2,Roma Tomato Extra Large,,,,,,ok-dom,2026-05-08,2026-05-08T17:34:27Z
46774,TOMATOES ROMA LUG,roma tomato,3,Original price,$0.60,0.60 each,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:34:27Z
46774,ONIONS YELLOW JUMBO 1015,sweet onion,1,Sweet Onion,$1.49,1.49 each,$1.49,/lb,,ok-dom,2026-05-08,2026-05-08T17:35:16Z
46774,ONIONS YELLOW JUMBO 1015,sweet onion,2,Sweet Onion,,,,,,ok-dom,2026-05-08,2026-05-08T17:35:16Z
46774,ONIONS YELLOW JUMBO 1015,sweet onion,3,Original price,$1.49,1.49 each,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:35:16Z
46774,PEPPERS JALAPENO,jalapeno pepper,1,Jalapeno Pepper,$0.30,0.30 each,$1.99,/lb,,ok-dom,2026-05-08,2026-05-08T17:36:05Z
46774,PEPPERS JALAPENO,jalapeno pepper,2,Jalapeno Pepper,,,,,,ok-dom,2026-05-08,2026-05-08T17:36:05Z
46774,PEPPERS JALAPENO,jalapeno pepper,3,Original price,$0.30,0.30 each,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:36:05Z
46774,CILANTRO VALUE,cilantro,1,"Cilantro, bunch",$0.89,,,,,ok-dom,2026-05-08,2026-05-08T17:36:55Z
46774,CILANTRO VALUE,cilantro,2,"Cilantro, bunch",,,,,,ok-dom,2026-05-08,2026-05-08T17:36:55Z
46774,CILANTRO VALUE,cilantro,3,Original price,$0.89,,,,,ok-dom,2026-05-08,2026-05-08T17:36:55Z
46774,APPLES FUJI POLY,fuji apples,1,"Fuji Apples, 3 lb",$3.29,3 lb,$1.10,/lb,,ok-dom,2026-05-08,2026-05-08T17:37:44Z
46774,APPLES FUJI POLY,fuji apples,2,"Fuji Apples, 3 lb",,3 lb,,,,ok-dom,2026-05-08,2026-05-08T17:37:44Z
